Company,Num_layoffs,Pct_impacted,Reported_date,Industry,HQ,Source,Company_status,Notes
Assure,Unclear,100%,11/23/22,Fintech,Salt Lake City,Axios,Private,
GloriFi,Unclear,100%,11/21/22,Fintech,Dallas,WSJ,Private,
Nuro,310,Unclear,11/18/22,Transportation,Mountain View,The Robot Report,Private,The company laid off ten people back in July.
Carvana,"4,000",Unclear,11/18/22,"Automotive, Ecommerce",Tempe,WSJ,Public,
Storyblocks,Unclear,Unclear,11/18/22,"Media, video editing","Washington, DC",Storyblocks CEO,Private,
Metaplex,Unclear,Unclear,11/18/22,Cryptocurrency,Chicago,AMBCrypto,Private,
Chili Piper,58,Unclear,11/17/22,"enterprise software, productivity",New York,Chili Piper,Private,
Roku,200,7%,11/17/22,"media, streaming","Los Gatos, CA",Variety,Public,
Morning Brew,Unclear,14%,11/17/22,"Media, news",New York,Max Tani,Private,
Kandji,Unclear,Unclear,11/17/22,"IT, software",San Diego,LinkedIn reports,Private,
Capitolis,37,25%,11/17/22,Fintech,New York,Calcalistech,Private,
Homepoint,113,Unclear,11/17/22,Proptech,"Greenville, SC",Phoenix Business Journal,Private,
Orchard,180,Unclear,11/17/22,Proptech,New York,Inman,Private,
Qualtrics,Unclear,Unclear,11/17/22,"SaaS, enterprise software","Provo, UT",LinkedIn reports,,
Lokalise,76,23%,11/16/22,"Saas, APIs","Dover, DE",Lokalise founders,Private,
Salsify,90,11%,11/16/22,"Cloud computing, e-commerce",Boston,Boston Business Journal,Private,
Similarweb,120,10%,11/16/22,"AI, analytics",New York,Globes,Public,
Yotpo,70,9%,11/16/22,"marketing, media",New York,Calcalistech,Private,
Cisco,4100,5%,11/16/22,"enterprise software, SaaS","San Jose, CA",Silicon Valley Business Journal,Public,
Kite,Unclear,100%,11/16/22,"AI, coding",San Francisco,Kite,Private,
Homeward,Unclear,25%,11/16/22,Proptech,"Austin, TX",Homeward,Private,
The Zebra,90,Unclear,11/15/22,"Insurance, fintech","Austin, TX",Coverager,Private,The company previously laid off 40 people in May.
Protocol Media,60,100%,11/15/22,"News, media",San Francisco,CNN,Private,
OfferUp,Unclear,19%,11/15/22,"E-commerce, marketplace","Bellevue, WA",GeekWire,Private,
OwnBackup,170,17%,11/15/22,"SaaS, enterprise software","Englewood Cliffs, NJ",Calcalistech,Private,
Asana,180,9%,11/15/22,"collaboration, enterprise software",San Francisco,Asana COO,Public,
UiPath,451,Unclear,11/15/22,Artificial Intelligence,New York,MarketWatch,Public,"The company laid of 210 employees, or about 5% of the company, in June. In November the company laid off an additional 241 people."
Sema4,750,Unclear,11/14/22,"AI, health care","Stamford, CT",MarketWatch,Public,"The company previously laid off 250 employees, or 13% of its staff, back in August."
Intercom,124,13%,11/14/22,"customer service, automation",San Franicsco,Silicon Republic,Private,
Amazon,"10,000",3%,11/14/22,"E-commerce, SaaS",Seattle,New York Times,Public,
Veev,100,30%,11/11/22,PropTech,San Mateo,Calcalistech,Private,
Coinbase,"1,160",Unclear,11/10/22,Crypto,San Francisco,The Information,Public,"The company previously laid off 1,100 people in June. In November, it laid off an additional 60 employees."
Reforge,Unclear,Unclear,11/10/22,HR Tech,San Francisco,Reforge CEO,Private,
Wistia,40,Unclear,11/10/22,"Video production, marketing","Cambridge, MA",Wistia CEO,Private,
Wavely,Unclear,100%,11/10/22,"hiring, HR","Palo Alto, CA",Wavely,Private,
Ocavu,20,48%,11/10/22,Cryptocurrency,"Lehi, UT",Salt Lake Tribune,Private,
Juul,400,30%,11/10/22,"consumer goods, vape pens",San Francisco,CNBC,Public,
SoundHound,45,10%,11/10/22,Conversational AI,"Santa Clara, CA",TechCrunch,Public,
RingCentral,Unclear,Unclear,11/9/22,"SaaS, meeting software","Belmont, CA",Barron's,Public,The company previously laid of 50 people in August.
AvantStay,224,Unclear,11/9/22,Travel,Los Angeles,Skift,Private,The company previously laid off 80 workers in June.
Coursera,Unclear,Unclear,11/9/22,Edtech,"Mountain View, CA",Coursera CEO,Public,
Amobee,Unclear,Unclear,11/9/22,"Adtech, digital marketing","Redwood City, CA",Amobee,Private,
Root Insurance,467,40%,11/9/22,InsurTech,Columbus,Columbus Dispatch,Public,"The company previously laid off 330 people, or 20% of the staff at the time, in January."
Meta,11000,13%,11/9/22,Social media,"Menlo Park, CA",CNBC,Public,
Redfin,1332,9%,11/9/22,PropTech,Seattle,Bloomberg,Public,"The company laid off 470 people, or 6% of its staff at the time, in June. In November, it laid off another 862, or 13% of it's staff."
Kabam,35,7%,11/9/22,video games,San Francisco,TechCrunch,Private,
Astra,Unclear,16%,11/8/22,"aerospace, space ","Alameda, CA",Astra CEO,Public,
SADA,Unclear,11%,11/8/22,"Cloud computing, IT",Los Angeles,SADA CEO,Private,
Salesforce,1090,Unclear,11/7/22,"enterprise tech, analytics",San Francisco,CNBC,Public,
Domino Data Lab,Unclear,Unclear,11/7/22,"AI, big data",San Francisco,LinkedIn reports,Private,
Code42,Unclear,15%,11/7/22,"Cybersecurity, enterprise software",Minneapolis,Star Tribune,Private,
Zendesk,350,5%,11/7/22,"Enterprise software, customer service",San Francisco,SFGate,Public,
Varonis Systems,110,5%,11/6/22,Cybersecurity,New York,Calcalistech,Private,"Half of its layoffs happened at its R&D center in Israel, per reports"
Twitter,3700,Unclear,11/4/22,Social Media,San Francisco,Reuters,Public,"Twitter cut around 3,700 staff members in November"
Exodus,59,22%,11/4/22,"Cryptocurrency, blockchain","Nebraska City, NE",Exodus CEO,Private,
Benitago Group,Unclear,14%,11/4/22,"e-commerce, retail",New York,TechCrunch,Private,
Mythical Games,Unclear,10%,11/4/22,"Video games, blockchain",Los Angeles,Bloomberg,Private,
Stripe,1050,Unclear,11/3/22,Fintech,San Francisco,Bloomberg,Private,The company previously laid of 50 staffers
Lyft,760,Unclear,11/3/22,Transportation,San Francisco,WSJ,Public,"The company laid of 60 people (2% of staff) in July, and 700 people (13%) in November."
Shippo,Unclear,20%,11/3/22,Logistics,San Francisco,Shippo CEO,Private,
Faire,84,7%,11/3/22,"E-commerce, retail",San Francisco,The Information,Private,
Affirm,Unclear,1%,11/3/22,"Fintech, loans",San Francisco,The Information,Public,
Blueboard,Unclear,Unclear,11/3/22,Enterprise Software,San Francisco,LinkedIn reports,,
Gem,100,Unclear,11/2/22,Recruiting,San Francisco,Gem CEO,Private,
Iron Ox,50,50%,11/2/22,"AgTech, food and beverage",San Francisco,TechCrunch,Private,
Opendoor,550,18%,11/2/22,Proptech,San Francisco,Opendoor CEO,Public,
Digital Currency Group,10,13%,11/2/22,Cryptocurrency,"Stamford, CT",Coindesk,Private,
Chime,156,12%,11/2/22,Fintech,San Francisco,The Information,Private,
Chargebee,142,10%,11/2/22,"Fintech, SaaS",San Francisco,TechCrunch,Private,
Booking.com,226,Unclear,11/1/22,"Travel, hotels","Grand Rapids, MI",Crain's Detroit Business,Private,
Brightline,Unclear,20%,11/1/22,Health care,"Palo Alto, CA",Behavioral Health Business,Private,
Upstart,60,7%,11/1/22,Fintech,"San Carlos, CA",TechCrunch,Private,
Notarize,170,Unclear,10/31/22,Legal Tech,Boston,Boston Business Journal,Private,"The company laid of 60 people, or 25% of the company, back in June. In October, it laid off an additional 60 people."
EquityZen,30,27%,10/31/22,Fintech,New York,Axios,Private,
Equitybee,25,20%,10/31/22,Fintech,San Francisco,Calcalistech,Private,
Fifth Season,Unclear,100%,10/28/22,Vertical farming,Pittsburgh,Pittsburgh Business Journal,Private,
Advata,32,21%,10/28/22,"health care, analytics ","Bellevue, WA",GeekWire,Private,
Spreetail,Unclear,Unclear,10/27/22,"retail, e-commerce","Lincoln, NE",Spreetail CEO,Private,
Recharge,84,17%,10/27/22,Fintech,Los Angeles,Recharge CEO,Private,
Argo AI,Unclear,100%,10/26/22,Transportation,Pittsburgh,TechCrunch,Private,
GoFundMe,94,12%,10/26/22,Crowdfunding,"Redwood City, CA",GoFundMe,Private,
Zillow,300,5%,10/26/22,PropTech,Seattle,TechCrunch,Public,
Callisto Media,Unclear,Unclear,10/25/22,Analytics,"Emeryville, California",Publishers Weekly,Private,The company previously cut staff by 35% in July.
TigerGraph,Unclear,Unclear,10/25/22,Analytics,"Redwood City, CA",Sources within the company,Private,
Fundbox,150,42%,10/25/22,Fintech,San Francisco,Calcalistech,Private,
Embroker,30,12%,10/25/22,InsurTech,San Francisco,The Insurer,Private,
Snyk,220,Unclear,10/24/22,Cybersecurity,Boston,Globes,Private,"The company previously laid of 30 people, or 5% of the company, in June"
Cerebral,Unclear,Unclear,10/24/22,Health Care,San Francisco,Wall Street Journal,Private,The company previously laid off employees in May.
Gopuff,"2,200",Unclear,10/21/22,E-commerce,Philadelphia,"Bloomberg, The Information",Private,"First round of layoffs was in March, second round was in July, and the third round was in October."
Volta Charging,Unclear,54%,10/21/22,"Automotive, electric vehicles",San Francisco,Volta ,Public,
Khoros,120,10%,10/21/22,"SaaS, enterprise software",Austin,Austin Business News,Private,
F5,100,1%,10/21/22,"SaaS, enterprise software",Seattle,GeekWire,Public,
Loom,57,Unclear,10/20/22,Enterprise Communication,San Francisco,SFGate,Private,Loom laid off 34 people (14% of the company) in June and 23 more people in October.
Starry,Unclear,50%,10/20/22,"WiFi, hardware",Boston,Starry,Public,
Zeus Living,64,46%,10/20/22,"Home decor, PropTech",San Francisco,San Francisco Business Journal,Private,
Clever Real Estate,Unclear,Unclear,10/19/22,PropTech,St. Louis,St. Louis Business Journal,Private,
AtoB,32,30%,10/19/22,FinTech,San Francisco,SFGate,Private,
Noodle,Unclear,Unclear,10/18/22,EdTech,New York,LinkedIn,Private,
Leafly,56,21%,10/18/22,Cannabis,Seattle,Leafly,Public,
Flipboard,24,21%,10/16/22,News,"Palo Alto, CA",Axios,Private,
Beyond Meat,240,Unclear,10/14/22,Foodtech,"Manhattan Beach, CA",CNBC,Public,Beyond Meat previously laid off 40 employees in August.
Clear Capital,378,27%,10/14/22,PropTech,"Truckee, CA",TechCrunch,Private,
Momentive,Unclear,11%,10/14/22,information technology,"Waterford, MI",TechCrunch,Private,
6sense,150,10%,10/12/22,"Artificial Intelligence, Machine Learning",San Francisco ,MoneyControl,Private,Layoffs largely affected teams in India
Noom,"1,095",Unclear,10/11/22,Fitness/Digital Health,New York,TechCrunch,Private,"The company has laid off more than 1,000 people in the span of a few months."
Pacaso,100,30%,10/11/22,PropTech,San Francisco,Inman,Private,
Udacity,55,13%,10/11/22,"edtech, artificial intelligence","Mountain View, CA",Udacity,Private,
Brex,136,11%,10/11/22,Fintech,San Francisco,TechCrunch,Private,
Redesign Health,67,20%,10/10/22,health care,New York,Fast Company,Private,
Rev.com,85,Unclear,10/7/22,"Speech recognition, artificial intelligence",San Francisco,Austin American-Statesman,Private,
Peloton,"4,084",Unclear,10/6/22,Fitness,New York,CNBC,Public,"Peloton previously laid off 3,584 in February"
Spotify,Unclear,Unclear,10/6/22,Music,"Stockholm, Sweden",TechCrunch,Public,
Built In,Unclear,Unclear,10/5/22,Networking,Chicago,LinkedIn,Private,
Homie,162,Unclear,10/4/22,PropTech,"South Jordan, Utah","TechCrunch, Crunchbase News reporting",Private,"Around 100 people were laid off in February. Another 22 people were laid off in June, the company confirmed to Crunchbase News."
TruePill,Unclear,Unclear,9/30/22,"pharmaceutical, health care","Hayward, CA",TechCrunch,Private,"Truepill previously laid off 175 employees in August, which was roughly 33% of the company"
Spin,78,10%,9/30/22,Transportation,San Francisco,TechCrunch,Private,
DocuSign,Unclear,9%,9/28/22,e-signature,San Francisco,CNBC,Public,
Divvy Homes,40,12%,9/27/22,PropTech,San Franicsco,The Information,Private,
Instacart,Unclear,Unclear,9/24/22,"delivery, e-commerce",San Francisco,The Information,Private,
Pesto,Unclear,100%,9/23/22,"IT, future of work",San Francisco,Pesto announcement,Private,The layoffs were as a result of the company closing
Foxtrot,26,4%,9/23/22,"food and beverage, e-commerce",Chicago,Chicago Business,Private,
Klarna,Unclear,Unclear,9/22/22,Fintech,Stockholm,Sifted,Private,"It's unclear how much of Klarna's U.S.-based workforce was affected by the global layoffs in May. The company reportedly laid off around 650 employees total, representing about 10% of its total workforce. Klarna laid off an additional 100 people in September."
Kitty Hawk,Unclear,100%,9/21/22,aerospace,Mountain View,CNBC,Private,The company announced it would shutter
Compass,Unclear,Unclear,9/20/22,Proptech,New York,Bloomberg,Public,
Curative,109,Unclear,9/20/22,health diagnostics,Los Angeles,Digital Health,Private,
VideoAmp,Unclear,2%,9/19/22,Advertising platforms,Los Angeles,Company memo,Private,
DayTwo,Unclear,Unclear,9/15/22,"Health care, nutrition","Walnut Creek, CA",Calcalistech,Private,
LivePerson,Unclear,Unclear,9/15/22,Customer service,New York,LinkedIn ,Public,
WorkRamp,Unclear,Unclear,9/15/22,"Saas, enterprise software","San Carlos, CA",LinkedIn,Private,
Netflix  ,480,Unclear,9/14/22,Media/entertainment,Los Gatos,Deadline,Public,"First round of cuts in May affected around 150 employees, second round affected about 300. The most recent funding round cut 30 people."
Twilio,800,11%,9/14/22,Enterprise Software,San Francisco,TechCrunch,Public,
Sundae,Unclear,Unclear,9/13/22,PropTech,San Francisco,Confirmed by CB News from sources,Private,
Patreon,80,17%,9/13/22,Social media,San Francisco,The Information,Private,
Taboola,Unclear,6%,9/13/22,Content marketing,New York,Calcalistech,Public,"The company laid off over 100 people, per Calcalist"
Sama,Unclear,Unclear,9/12/22,"AI, enterprise software",San Francisco,Sama,Private,
Rent the Runway,Unclear,24%,9/12/22,"e-commerce, retail",New York,Wall Street Journal,Public,
Karbon,Unclear,23%,9/12/22,"Productivity, task management",San Francisco,"Stuart McLeod, CEO of Karbon",Private,
DreamBox Learning,Unclear,Unclear,9/9/22,EdTech,Seattle,Geekwire,Private,
CommonBond,Unclear,100%,9/9/22,"FinTech, loan repayments",New York,"David Klein, CEO of CommonBond",Private,
Flowhub,Unclear,15%,9/9/22,Cannabis,Dever,Business Insider,Private,
FullStory,Unclear,Unclear,9/8/22,"SaaS, data",Atlanta,"Scott Voigt, CEO of FullStory",Private,
realtor.com,Unclear,Unclear,9/8/22,Proptech,"Santa Clara, CA",SFGate,Private,
BigBear.ai,Unclear,7%,9/8/22,"data analytics, national defense","Columbia, MD",Baltimore Business Journal,Public,
Medly Pharmacy,Unclear,50%,9/7/22,"Pharmacy, health care",New York,Crain's New York,Private,
Brave Care,40,33%,9/6/22,"Pediatrics, telehealth",Portland,The Oregonian,Private,The Orgeonian reported roughly 40 people have been laid off
Medium,Unclear,25%,9/6/22,Publishing,San Francisco,"Lauren Newton, Head of People at Medium",Private,
Juniper Square,Unclear,14%,9/6/22,Proptech,San Francisco,The Real Deal,Private,
Innovaccer,120,8%,9/1/22,"Cloud Infrastructure, health care",San Francisco,Inc42,Private,
The Wing,Unclear,100%,8/31/22,Coworking,New York,The Information,Private,
Snap,1280,20%,8/31/22,Social media,"Venice, CA",The Verge,Public,
GoodRx,140,16%,8/31/22,"Health care, pharmaceuticals",Los Angeles,Seeking Alpha,Public,
Apartment List,Unclear,10%,8/31/22,Proptech,San Francisco,CEO Matthew Woods,Private,
Nate,30,Unclear,8/30/22,E-commerce,New York,The Information,Private,"Nate reportedly had two layoffs. In June, the company laid of 30 people, or 20% of the company at the time."
Skillz,Unclear,Unclear,8/29/22,"Mobile Apps, Gaming",San Francisco,Seeking Alpha,Public,
Fungible,Unclear,Unclear,8/29/22,cryptocurrency,"Santa Clara, CA",Blocks & Files,Private,
Okta,24,Unclear,8/26/22,"Enterprise software, Management information systems",San Francisco,Unleash,Public,
Argyle,20,7%,8/26/22,InsurTech,New York,TechCrunch,Private,
FreshDirect,40,Unclear,8/25/22,"Food delivery, ecommerce","The Bronx, NY",Philadelphia Business Journal,Private,
impact.com,Unclear,10%,8/25/22,Digital marketing,"Santa Barbara, CA",impact.com,Private,
ShipBob,Unclear,7%,8/25/22,"Shipping, Logistics",Chicago,Business Insider ,Private,
Pix,Unclear,Unclear,8/24/22,Foodtech,"Napa, CA",San Francisco Chronicle,Private,
Reali,140,100%,8/24/22,PropTech,"San Mateo, CA",Calcalistech,Private,
DataRobot,,26%,8/23/22,"AI, enterprise software",Boston,The Information,Private,
Amperity,13,3%,8/20/22,"Saas, analytics",Seattle,Geekwire,Private,The startup laid off its recruting staff
Wayfair,870,Unclear,8/19/22,"E-commerce, retail",Boston,Boston Globe,Public,
Thirty Madison,Unclear,10%,8/18/22,"health care, wellness",Greater New York area,Fierce Healthcare,Private,"Axios reported in May the company laid off roughly 3% of its staff, which amounted to 24 people at the time"
New Relic,110,5%,8/18/22,"productivity, enterprise software","Bay Area, CA",MarketWatch,Private,
Tempo Automation,54,Unclear,8/17/22,automotive,San Francisco,San Francisco Business Times,Private,
Malwarebytes,125,14%,8/17/22,"security, enterprise software",San Francisco,TechCrunch,Private,
Edmodo,Unclear,100%,8/16/22,Edtech,"San Mateo, CA",EdSurge,Private,
Woven,5,15%,8/16/22,"Artificial intelligence, recruiting",Indianapolis,AdAge,Private,
Blend,Unclear,25%,8/15/22,"Fintech, proptech",San Francisco,HousingWire,Public,
ThredUp,Unclear,15%,8/15/22,"E-commerce, fashion","Oakland, CA",Retail Dive,Public,
Almanac,Unclear,30%,8/13/22,"Collaboration, productivity",San Francisco,LinkedIn,Private,
Orbit,Unclear,Unclear,8/12/22,Productivity software,San Francisco,Orbit CEO Patrick Woods,Private,Orbit CEO Patrick Woods announced at least 14 people have been laid off
Core Scientific ,Unclear,10%,8/12/22,"Blockchain, cryptocurrency ",Austin,Blockworks,Public,
GoHealth,800,20%,8/11/22,"health care, health insurance",Chicago,Chicago Sun Times,Public,
Homeward,120,20%,8/11/22,"Real Estate, PropTech",Austin,The Real Deal,Private,
Calm,90,20%,8/11/22,"personal health, wellness",San Francisco,Wall Street Journal,Private,
Nutanix,270,4%,8/10/22,"data center, enterprise software",San Jose,SFGate,Public,
Sweetgreen,Unclear,5%,8/9/22,"food and beverage, restaurants","Washington, DC",CNBC,Public,
Vroom,647,Unclear,8/8/22,"Auto, E-commerce",New York,Automotive News,Public,"In May, the company cut 270 jobs, or 14% of its workforce. Vroom announced in August in laid off an additional 337 people."
Warby Parker,63,Unclear,8/8/22,"Ecommerce, Fashion",New York City,Insider,Public,
