Company,Num_layoffs,Pct_impacted,Reported_date,Industry,HQ,Source,Company_status,Notes
DataRobot,Unclear,Unclear,8/8/22,Artificial Intelligence,Boston,Boston Globe,Private,"In May, the Information reported the company would lay off 70 people, or 7% of its staff. In August, The Boston Globe said the startup would cut more staff."
Haus,Unclear,100%,8/8/22,food and beverage,"Healdsburg, CA",TechCrunch,Private,
Groupon,500,15%,8/8/22,"ecommerce, retail",Chicago,TechCrunch,Public,TechCrunch reported the company laid off more than 500 employees
Daily Harvest,Unclear,15%,8/8/22,"Food delivery, ecommerce",New York City,Fortune,Private,
iRobot,140,10%,8/5/22,"artificial intelligence, robotics","Bedford, MA",Geekwire,Public,
StubHub,Unclear,Unclear,8/4/22,"E-commerce, ticketing",San Francisco,StubHub on LinkedIn,Private,StubHub announced they would be letting go of the majority of their employees on a LinkedIn post
On Deck,73,Unclear,8/4/22,"Networking, business development",San Francisco,TechCrunch,Private,
Jam City,Unclear,17%,8/4/22,"Mobile Apps, Gaming",Culver City,VentureBeat,Private,Venture Beat reported around 150 to 200 people were laid off
Healthcare.com,149,Unclear,8/3/22,Insurtech,"Miami, FL",Miami Inno,Private,
Glossier,104,Unclear,8/2/22,Beauty,New York,Modern Retail,Private,Glossier laid off 80 people in January. In August a source told Modern Retail it laid off roughly two dozen more people
Nylas,80,Unclear,8/2/22,"Software, Emails, API",San Francisco,Nylas,Private,
Latch ,115,37%,8/2/22,PropTech,"New York, NY",Latch,Public,
Robinhood,"1,013",30%,8/2/22,Fintech,Menlo Park,Robinhood,Public,"Around 300 people (9% of the company) were laid off in April. In August, Robinhood let go of around 23%, or 713, employees."
Outreach,Unclear,5%,8/2/22,Sales Tech,Seattle,LinkedIn,Private,Less than 5% of company was impacted by layoffs.
Oracle,Unclear,Unclear,8/1/22,"SaaS, enterprise software",Austin,The Information,Public,The Information reported thousands of people would be laid off
Imperfect Foods,50,Unclear,8/1/22,"Grocery, e-commerce, delivery service",San Francisco,San Francisco Business Times,Private,The San Francisco Business Times reported about 50 people were laid off
OnlyFans,Unclear,Unclear,8/1/22,"Social media, creator economy",London,Business Insider,Private,OnlyFans is based in the UK but has a sizeable workforce in the US
2U,Unclear,20%,8/1/22,Edtech,"Hyattsville, MD",Inside Higher Ed,Public,
Shelf Engine,43,Unclear,7/29/22,"Food Tech, Software, Grocery Tech",Seattle,GeekWire,Private,LinkedIn estimates company had around 150 employees before layoffs.
Metromile,60,20%,7/29/22,"Insurtech, transportation",San Francisco,Crunchbase,Public,Crunchbase reported about 20% of employees were laid off following Lemonade's acquisition 
Career Karma,60,Unclear,7/28/22,"Career planning, social network",San Francisco,TechCrunch,Private,"According to TechCrunch, sources said about a third of the staff was let go"
Turntide,130,20%,7/28/22,"CleanTech, energy","Sunnyvale, CA",Business Insider,Private,Business Insider estimates around 130 people were laid off
Change.org,Unclear,19%,7/28/22,CivicTech,San Francisco,Change.org,Private,
Rivian,840,6%,7/28/22,"electric vehicle, transportation","Irvine, CA",CNN,Public,
Vox Media,39,2%,7/27/22,"Digital media, journalism","Washington, DC",Axios,Private,Axios reported less than 2% of staff were laid off
People.ai,Unclear,Unclear,7/26/22,"AI, Sales",San Francisco,LinkedIn,Private,
Shopify,1000,10%,7/26/22,E-commerce,"Ottawa, Canada",WSJ,Public,
Outbrain,38,3%,7/26/22,Digital Marketing,New York,CTech,Public,
Pear Therapeutics,25,9%,7/25/22,"Software, Biotech",Boston,MassDevice,Public,
Boosted Commerce,Unclear,5%,7/25/22,E-commerce,Los Angeles,Business Insider ,Private,
Clarify Health,15,5%,7/22/22,Health Care,San Francisco,Axios,Private,
Capsule,Unclear,Unclear,7/21/22,Health Care,New York,Crain's New York,Private,
Rad Power Bikes,163,Unclear,7/21/22,Transporation,Seattle,GeekWire,Private,"First round of layoffs was in April, second round in July."
InVision,Unclear,Unclear,7/21/22,"Visual collaboration, Apps",New York,LinkedIn,Private,
Hydrow,70,35%,7/21/22,Fitness,Boston,Boston Globe,Private,
Lunchbox,Unclear,33%,7/21/22,"Restaurant Tech, Food Tech",New York,Business Insider,Private,
WHOOP,Unclear,15%,7/21/22,Fitness,Boston,Front Office Sports,Private,
98point6,Unclear,10%,7/21/22,Health Care,Seattle,GeekWire,Private,
RealSelf,11,5%,7/21/22,Beauty tech,Seattle,GeekWire,Private,
Varo,75,Unclear,7/20/22,Fintech,San Francisco,Axios,Private,
Arc,13,Unclear,7/20/22,HR Tech,Mountain View,LinkedIn,Private,
Flyhomes,150,20%,7/20/22,"Real Estate, PropTech",Seattle,GeekWire,Private,An estimated 150 employees were laid off.
The Mom Project,54,15%,7/20/22,Talent marketplace,Chicago,LinkedIn,Private,
Olive,450,Unclear,7/19/22,Health Care,Columbus,Olive,Private,
Invitae,1000,Unclear,7/18/22,"Health Care, Biotech",San Francisco,GenomeWeb,Public,
Elemy,Unclear,Unclear,7/18/22,Health Care,San Francisco,Behavioral Health Business,Private,
TikTok,Unclear,Unclear,7/18/22,Social Media,Los Angeles,Wired,Private,"TikTok is owned by China-based ByteDance, but the layoffs affected staff in the U.S."
Lusha,30,10%,7/18/22,Sales tech,New York,CTech,Private,
Gemini,68,7%,7/18/22,Crypto,New York,TechCrunch,Private,
Vimeo,72,6%,7/18/22,Media/entertainment, New York,Business Insider ,Public,"Layoffs affected around 72 employees, based on an estimate of Vimeo's headcount."
Aspire,23,Unclear,7/15/22,Marketing tech,San Francisco,Business Insider ,Private,
Project44,63,5%,7/15/22,Logistics,Chicago,FreightWaves,Private,
Alto Pharmacy,Unclear,Unclear,7/14/22,Health Care,San Francisco,LinkedIn,Private,
OpenSea,Unclear,20%,7/14/22,"Crypto, NFT marketplace",New York,Devin Finzer,Private,
Papa,Unclear,15%,7/14/22,Elder Care,Miami,LinkedIn,Private,
ChowNow,100,Unclear,7/13/22,"Restaurant Tech, Food Tech","Playa Visa, California",TechCrunch,Private,
100 Thieves,12,Unclear,7/13/22,"eSports, Media",Los Angeles,Dexerto,Private,More than a dozen employees were reportedly laid off.
Spring,Unclear,Unclear,7/13/22,E-commerce,San Francisco,Business Insider,Private,
Fabric,120,40%,7/13/22,"E-commerce, Logistics",New York,TechCrunch,Private,
Tonal,262,35%,7/13/22,Fitness,San Francisco,CNBC,Private,
Microsoft,Unclear,Unclear,7/12/22,Enterprise Software,Seattle,Crunchbase News reporting,Public,
Adwerx,40,Unclear,7/12/22,Digital Marketing,"Durham, North Carolina",Inman,Private,
Hubilo,45,Unclear,7/12/22,Virtual Events,San Francisco,Inc42,Private,
Hopin,380,Unclear,7/11/22,Virtual Event,London,TechCrunch,Private,"Unclear how many U.S.-based employees were affected. First round of layoffs was in February, second round was in July."
SundaySky,24,13%,7/11/22,Video Conferencing Software,New York,Globes,Private,"Layoffs affect employees in the U.S., Israel, and Japan."
Forward,Unclear,5%,7/11/22,Health Care,San Francisco,Fierce Healthcare,Private,
Nextbite,Unclear,Unclear,7/8/22,"Restaurant Tech, Food Tech",Denver,Business Insider ,Private,
Butler Hospitality,1000,100%,7/8/22,Hospitality,New York,TechCrunch,Private,"Company ceased operations, per reports."
NextRoll,Unclear,3%,7/8/22,Marketing Tech,San Francisco,Business Insider ,Private,
Cedar,Unclear,24%,7/7/22,Health Care,New York,Business Insider ,Private,
Emotive,30,18%,7/7/22,SMS Marketing,Los Angeles,dot.LA,Private,
Next Insurance,150,17%,7/7/22,InsurTech,Palo Alto,CTech,Private,
Argo AI,150,5%,7/7/22,Transportation,Pittsburgh,TechCrunch,Private,
SQream Technologies,30,18%,7/6/22,Data Analytics,New York,CTech,Private,"SQream is based in New York, but most of the employees affected by layoffs are in Israel, accoring to CTech."
Remote,100,9%,7/6/22,HR Tech,San Francisco,Publico,Private,
Bizzabo,120,30%,7/5/22,Virtual Event,New York,CTech,Private,
Outschool,31,18%,7/5/22,EdTech,San Francisco,TechCrunch,Private,
Verbit,80,10%,7/5/22,Natural Language Processing,New York,CTech,Private,
Celsius,150,25%,7/3/22,Crypto,"Hoboken, New Jersey",CTech,Private,
LetsGetChecked,Unclear,Unclear,7/2/22,Health Care,New York,Business Post,Private,
Teleport,Unclear,Unclear,7/1/22,Cloud Infrastructure,Oakland,Teleport,Private,
WanderJaunt,85,100%,7/1/22,"PropTech, Real Estate",San Francisco,Short Term Rentalz,Private,Company shut down.
Canoo,58,6%,7/1/22,Transportation,"Torrance, California",Business Insider ,Private,
Stream,,10%-15%,6/30/22,Communications Infrastructure,Boulder,Pragmatic Engineer,Private,
Enjoy,400,18%,6/30/22,"E-commerce, Delivery",Palo Alto,Bloomberg,Public,
Abra,12,5%,6/30/22,Crypto,Mountain View,The Block,Private,
Modsy,Unclear,Unclear,6/29/22,E-commerce,San Francisco,TechCrunch,Private,
Degreed,Unclear,Unclear,6/29/22,EdTech,"Pleasanton, CA",LinkedIn,Private,
Baton,16,25%,6/29/22,"Transporation, Logistics",San Francisco,Freight Waves,Private,
HomeLight,Unclear,19%,6/29/22,"Proptech, Real Estate",San Francisco,The Real Deal,Private,
Qumolo,80,19%,6/29/22,Data storage,Seattle,GeekWire,Private,
Substack,13,14%,6/29/22,"Media, Content Creators",San Francisco,New York Times,Private,
AppLovin,300,12%,6/29/22,"Mobile Apps, Developer Tools",Palo Alto,Silicon Valley Business Journal,Public,
Niantic,85,8%,6/29/22,"Video Games, AR",San Francisco,Bloomberg,Private,
Unity,200,4%,6/29/22,Video Games,San Francisco,WSJ,Public,
Sundae,Unclear,15%,6/28/22,"PropTech, Real Estate",San Francisco,Real Trends,Private,
Bright Machines,30,8%,6/28/22,Robotics,San Francisco,CTech,Private,
StockX,120,8%,6/28/22,E-commerce,Detroit,The Information,Private,
Cue,170,Unclear,6/27/22,Health Care,San Diego,GenomeWeb,Public,
SafeGraph,,25%,6/27/22,"Artificial Intelligence, Machine Learning",San Francisco,SafeGraph,Private,
Amount,Unclear,18%,6/27/22,FinTech,Chicago,TechCrunch,Private,
Postscript,43,19%,6/26/22,"Marketing Tech, SMS Marketing",San Francisco,Alex Beller,Private,
Ethos Life,40,12%,6/24/22,InsurTech,San Francisco,Coverager,Private,
Aura,70,9%,6/24/22,Cybersecurity,Boston,Bank Info Security,Private,
Ro,Unclear,18%,6/23/22,Health Care,New York,TechCrunch,Private,
Esper,Unclear,12%,6/23/22,DevOps,Seattle,GeekWire,Private,
Community,40,Unclear,6/22/22,Social Media,Los Angeles,Business Insider ,Private,
MasterClass,156,20%,6/22/22,Edtech,San Francisco,MasterClass CEO David Rogier,Private,"20% of the company was laid off, meaning an estimated 156 employees, per LinkedIn data."
SummerBio,101,100%,6/20/22,"Health Care, Diagnostics",Menlo Park,Bay Area Inno,Private,Company shut down.
Buzzer,Unclear,20%,6/20/22,"Media, Sports",New York,Sportico,Private,
Finite State,16,Unclear,6/17/22,Cybersecurity,Columbus,ColumbusInno,Private,
Nayya,16,15%,6/17/22,"Employee Benefits, HR Tech",New York,Crunchbase News reporting,Private,"16 people were laid off, according to the company."
Socure,69,13%,6/17/22,Identity verification,Reno,Forbes,Private,
Zumper,45,15%,6/16/22,PropTech,San Francisco,The Real Deal,Private,"Layoffs affected 15 percent of Zumper's approximately 300-person workforce, per The Real Deal."
JOKR,50,5%,6/16/22,"Food delivery, ecommerce",New York,TechCrunch,Private,
Tonkean,23,23%,6/15/22,Software,San Francisco,The Marker,Private,"Layoffs affected 12 people in the United States, and 11 people in Israel, per The Marker."
Compass,450,10%,6/14/22,PropTech,New York,Bloomberg,Public,
TIFIN,21,10%,6/14/22,FinTech,Boulder,Axios,Private,
BlockFi,170,20%,6/13/22,Crypto,Jersey City,BlockFi,Private,"BlockFi's last known headcount was around 850, so the cuts represent around 170 positions."
DesktopMetal,Unclear,12%,6/13/22,3D Printing,"Burlington, Massachusetts",MarketWatch,Public,
Keepe,Unclear,Unclear,6/10/22,PropTech,Seattle,GeekWire,Private,
Liongard,Unclear,Unclear,6/10/22,IT Infrastructure,Houston,CRN,Private,
Sonder,Unclear,21%,6/10/22,Hospitality,San Francisco,MarketWatch,Public,
Stitch Fix,330,15%,6/10/22,"Ecommerce, Fashion",San Francisco,CNBC,Public,
Albert,20,8%,6/10/22,FinTech,Los Angeles,dot.LA,Private,"At least 20 people were laid off from the 250-employee company, per dot.LA"
Convoy,Unclear,Unclear,6/9/22,Logistics,Seattle,GeekWire,Private,"The company previously laid off around 90 people, or 7% of the company, in June."
Hologram,80,33%,6/9/22,IoT,Chicago,Crain's Chicago Business,Private,
OneTrust,950,25%,6/9/22,Cybersecurity,Atlanta,OneTrust,Private,
Jellysmack,Unclear,8%,6/9/22,Media/Entertainment,New York,Business Insider,Private,
Deep Instinct,Unclear,Unclear,6/8/22,Cybersecurity,New York,Crunchbase News,Private,
TruePill,Unclear,15%,6/8/22,Health Care,"Hayward, California",TruePill,Private,
Progrexion,100,Unclear,6/7/22,FinTech,Salt Lake City,Crunchbase News,Private,At least 100 employees were laid off.
ID.Me,Unclear,Unclear,6/7/22,Identity verification,"McLean, Virginia",Business Insider,Private,
Bird,138,23%,6/7/22,Transporation,Santa Monica,TechCrunch,Public,
Sendoso,100,14%,6/6/22,Marketing Automation,San Francisco,Business Insider,Private,
Dutchie,56,8%,6/6/22,Cannabis,"Bend, Oregon",GeekWire,Private,
Clubhouse,Unclear,Unclear,6/3/22,"Social Media, Audio",San Francisco,Bloomberg,Private,
Superhuman,23,22%,6/3/22,Email Software,San Francisco,CEO Rahul Vohra,Private,
Stord,59,8%,6/3/22,Logistics,Atlanta,Business Insider,Private,
Esme Learning,40,Unclear,6/2/22,EdTech,"Newton, Massachusetts","Esme Learning, Crunchbase News reporting",Private,
Eaze,25,Unclear,6/2/22,Cannabis,San Francisco,Business Insider ,Private,
Policygenius,170,25%,6/2/22,InsurTech,New York,TechCrunch,Private,
IRL,25,25%,6/2/22,Social Media,San Francisco,TechCrunch,Private,
Sourcepoint,7,13%,6/2/22,"Privacy Tech, Marketing Tech",New York,Crunchbase News reporting,Private,Company did not respond to a request to confirm details of layoffs.
Gemini,Unclear,10%,6/2/22,"Fintech, Crypto",New York,Bloomberg,Private,
Carbon Health,250,8%,6/2/22,Health Care,San Francisco,Carbon Health,Private,
Cybereason,100,Unclear,6/1/22,Cybersecurity,Boston,CTech,Private,"Affected employees are in U.S., Israel, and Europe."
Side ,Unclear,10%,6/1/22,PropTech,San Francisco,Inman,Private,
Replicated,50,Unclear,5/31/22,Enterprise Software,Los Angeles,Replicated,Private,"Around one third of staff were impacted, per LinkedIn estimates."
Tomo,44,33%,5/31/22,"FinTech, PropTech",Stamford,Business Insider,Private,
Playtika,250,6%,5/31/22,Gaming,Tel Aviv,Globes,Public,"Closing studios in London, Montreal, and Los Angeles."
Coterie Insurance,30,20%,5/27/22,InsurTech,Cincinnati,CincyInno,Private,
Terminus,Unclear,15%,5/27/22,Marketing,Atlanta,LinkedIn,Private,
Lacework,200,20%,5/26/22,Cybersecurity,San Jose,The Information,Private,
Bolt,250,33%,5/25/22,FinTech,San Francisco,Fortune,Private,
ClickUp,Unclear,7%,5/24/22,Productivity Tools,San Diego,Protocol,Private,
PayPal,83,0.27%,5/23/22,Fintech,San Jose,The Information,Public,
Colossus,97,Unclear,5/20/22,"Solar, Software",Massachusetts,Axios,Private,
Outside Inc,Unclear,15%,5/20/22,Media/entertainment,Boulder,Denver Business Journal,Private,
Skillz,70,10%,5/20/22,Esports/Video Games,San Francisco,TechCrunch,Public,
Talkdesk,Unclear,Unclear,5/19/22,Customer service,San Francisco,Confirmed by CB News from source,Private,Sources say hundreds of employees have been laid off
Picsart,90,8%,5/17/22,Media/entertainment,Miami,The Information,Private,
Zulily,99,10%,5/16/22,E-commerce,Seattle,GeekWire,Public,Less than 10% and fewer than 100 employees were laid off.
Subspace,Unclear,100%,5/13/22,Media/entertainment,Los Angeles,LinkedIn,Private,Company shut down.
Latch,30,6%,5/13/22,"Smart Home, Security",New York ,TechCrunch,Public,
Thirty Madison,24,3%,5/13/22,Health Care,New York,Axios,Private,"Per Axios, 22 of the employees laid off were from Thirty Madison, and two were from new parent company Nurx."
Zwift,Unclear,Unclear,5/12/22,Fitness,Long Beach,DC Rainmaker,Private,
Tripwire,Unclear,Unclear,5/12/22,Security,Portland,OregonLive,Private,
Section4,32,25%,5/12/22,Edtech,New York,TechCrunch,Private,
Doma ,310,15%,5/10/22,"Fintech, InsurTech",San Francisco,HousingWire,Public,
Mural,Unclear,Unclear,5/6/22,Product Design,San Francisco,Protocol,Private,
Reef,750,5%,5/6/22,"Food delivery, ecommerce",Miami,The Information,Private,
On Deck,72,25%,5/5/22,Business development,San Francisco,TechCrunch,Private,
Cameo,167,Unclear,5/4/22,Media/entertainment,Chicago,The Information,Private,
MainStreet,50,33%,5/4/22,Fintech,San Jose,Insider,Private,Around 50 people were laid off.
Ideoclick,40,33%,5/4/22,E-commerce,Seattle,Puget Sound Business Journal,Private,
Vise,25,25%,5/4/22,Fintech,New York,CityWire,Private,
Thrasio,Unclear,Unclear,5/2/22,E-commerce,"Walpole, MA",Insider,Private,
Clyde,19,Unclear,4/25/22,E-commerce,New York,External Spreadsheet,Private,At least 19 people were laid off
Better,"5,000",50%,4/19/22,Fintech,New York,TechCrunch,Private,"Better.com laid off around 5,000 people in three rounds of layoffs over the course of five months. It had around 10,000 employees in December and has fewer than 5,000 now, per TechCrunch."
Blend,200,10%,4/19/22,Fintech,San Francisco,HousingWire,Public,
Automox,Unclear,11%,4/18/22,Security,Boulder,LinkedIn,Private,
Halcyon Health,Unclear,Unclear,4/15/22,Health Care,New York,Axios,Private,Company shut down
Ahead,Unclear,Unclear,4/14/22,Health Care,Santa Clara,Bloomberg,Private,Company shut down
Food52,20,6%,4/8/22,"Media, E-commerce",New York,Digiday,Private,
Workrise,Unclear,Unclear,4/5/22,Marketplace,Austin,TechCrunch,Private,
Fast,400,100%,4/5/22,Fintech,San Francisco,The Information,Private,"Company shut down, and at least 400 people were laid off, per estimates of Fast's headcount"
Rasa,59,40%,4/4/22,Artificial Intelligence,San Francisco ,Business Insider ,Private,"Rasa was founded in Berlin but moved its headquarters to San Francisco in 2019. Layoffs affected employees in the U.S., Germany, and U.K."
Grove Collaborative,Unclear,17%,3/29/22,E-commerce,San Francisco,Retail Dive,Private,
Curology,150,20%,3/16/22,E-commerce,San Francisco,SF Business Times,Private,
Knock ,Unclear,46%,3/15/22,Proptech,New York,The Real Deal,Private,
Sezzle,Unclear,20%,3/10/22,Fintech,Minneapolis,Reuters,Public,20% of staff in North America
Hyperscience,100,25%,3/3/22,AI,New York,The Information,Private,
Virgin Hyperloop,111,50%,2/22/22,Transporation,Los Angeles,Fortune,Private,
Rhino,57,20%,2/3/22,"PropTech, InsurTech",New York,The Real Deal,Private,
Beachbody,70,10%,1/27/22,Fitness,Santa Monica,Club Industry,Public,